Date,Value
10/19/18,253450
10/18/18,260362
10/17/18,257967
10/16/18,266945
10/15/18,191259
10/14/18,205097
10/13/18,243174
10/12/18,262467
10/11/18,244945
10/10/18,235862
10/9/18,248041
10/8/18,219731
10/7/18,214843
10/6/18,244719
10/5/18,243157
10/4/18,242303
10/3/18,244772
10/2/18,242820
10/1/18,208210
9/30/18,218339
9/29/18,254239
9/28/18,248686
9/27/18,243927
9/26/18,252113
9/25/18,237670
9/24/18,200319
9/23/18,225537
9/22/18,273051
9/21/18,253674
9/20/18,251037
9/19/18,244259
9/18/18,240152
9/17/18,179483
9/16/18,211071
9/15/18,223250
9/14/18,234209
9/13/18,233275
9/12/18,237571
9/11/18,222866
9/10/18,188912
9/9/18,204428
9/8/18,230790
9/7/18,252261
9/6/18,246477
9/5/18,232265
9/4/18,222897
9/3/18,187145
9/2/18,213331
9/1/18,237076
8/31/18,231391
8/30/18,237508
8/29/18,238039
8/28/18,223656
8/27/18,172747
8/26/18,196420
8/25/18,219848
8/24/18,217352
8/23/18,230333
8/22/18,217777
8/21/18,214983
8/20/18,167400
8/19/18,190935
8/18/18,233794
8/17/18,232335
8/16/18,246066
8/15/18,247622
8/14/18,222229
8/13/18,165044
8/12/18,192438
8/11/18,226148
8/10/18,222326
8/9/18,235311
8/8/18,233045
8/7/18,218607
8/6/18,172181
8/5/18,191657
8/4/18,229859
8/3/18,224873
8/2/18,241044
8/1/18,242977
7/31/18,230924
7/30/18,168407
7/29/18,188238
7/28/18,229397
7/27/18,231679
7/26/18,250208
7/25/18,259358
7/24/18,229480
7/23/18,167129
7/22/18,184803
7/21/18,225529
7/20/18,225039
7/19/18,238769
7/18/18,233966
7/17/18,207842
7/16/18,161151
7/15/18,176475
7/14/18,207904
7/13/18,203535
7/12/18,202603
7/11/18,216063
7/10/18,206546
7/9/18,155685
7/8/18,170160
7/7/18,200993
7/6/18,199600
7/5/18,206788
7/4/18,216747
7/3/18,199294
7/2/18,156247
7/1/18,181065
6/30/18,197881
6/29/18,187624
6/28/18,188510
6/27/18,195404
6/26/18,200173
6/25/18,158022
6/24/18,163295
6/23/18,204144
6/22/18,198113
6/21/18,198889
6/20/18,191805
6/19/18,196305
6/18/18,144908
6/17/18,159090
6/16/18,205861
6/15/18,210029
6/14/18,211829
6/13/18,214595
6/12/18,213196
6/11/18,179809
6/10/18,171306
6/9/18,200379
6/8/18,207627
6/7/18,206417
6/6/18,212901
6/5/18,209916
6/4/18,163443
6/3/18,174497
6/2/18,205481
6/1/18,209526
5/31/18,204077
5/30/18,204769
5/29/18,189063
5/28/18,144304
