timestamp,date,open,high,low,close,volume
1438905600,8/7/15,3,3.00001,3,3,371.791705
1438992000,8/8/15,5.571677,13925.65614,0.15,0.818711,348070.3797
1439078400,8/9/15,0.784848,1.076663,0.629752,0.685715,250680.2609
1439164800,8/10/15,0.705624,0.766597,0.586172,0.700703,191124.8545
1439251200,8/11/15,0.701837,1.166889,0.642652,1.073389,868744.6607
1439337600,8/12/15,1.074644,1.317855,0.7893,1.202286,1287991.301
1439424000,8/13/15,1.202157,2.124441,1.069321,1.840239,2233874.795
1439510400,8/14/15,1.824313,2.361995,1.734764,1.817878,3199336.825
1439596800,8/15/15,1.823334,1.915711,1.5,1.671268,1356145.919
1439683200,8/16/15,1.669933,1.714868,0.5,1.601779,2192369.702
1439769600,8/17/15,1.601641,1.602699,1.134643,1.22201,1262219.932
1439856000,8/18/15,1.208245,1.36163,0.927641,1.104902,1113718.161
1439942400,8/19/15,1.10001,1.329439,1.10001,1.245634,889032.4141
1440028800,8/20/15,1.24548,1.550054,1.220071,1.464748,1743840.793
1440115200,8/21/15,1.471992,1.590722,1.33319,1.389601,1555104.077
1440201600,8/22/15,1.387626,1.4827,1.344812,1.373277,530143.5968
1440288000,8/23/15,1.373169,1.465039,1.289421,1.348361,1094362.17
1440374400,8/24/15,1.345885,1.372713,1.228448,1.228521,447533.0316
1440460800,8/25/15,1.230801,1.277,1.095373,1.141992,748962.0803
1440547200,8/26/15,1.140867,1.216899,1.05263,1.172018,600372.1507
1440633600,8/27/15,1.162132,1.199846,1.129152,1.147452,328192.2133
1440720000,8/28/15,1.146333,1.211257,1.123014,1.182323,319375.591
1440806400,8/29/15,1.182164,1.203353,1.14121,1.181251,255899.7656
1440892800,8/30/15,1.184124,1.38637,1.16503,1.316124,911931.3387
1440979200,8/31/15,1.316524,1.440876,1.187811,1.356303,917699.9178
1441065600,9/1/15,1.359363,1.402235,1.31241,1.351197,459924.0093
1441152000,9/2/15,1.35127,1.36,1.14032,1.298758,501582.1936
1441238400,9/3/15,1.298416,1.318235,1.185886,1.249727,436081.0849
1441324800,9/4/15,1.249896,1.30881,1.229587,1.273682,274580.6642
1441411200,9/5/15,1.282832,1.385002,1.170835,1.343539,241983.7518
1441497600,9/6/15,1.330968,1.384465,1.292753,1.295697,210726.2069
1441584000,9/7/15,1.294076,1.318076,1.22909,1.24319,294621.7705
1441670400,9/8/15,1.24682,1.289216,1.222515,1.244875,202619.2379
1441756800,9/9/15,1.248858,1.269263,1.202899,1.214025,183304.8481
1441843200,9/10/15,1.215488,1.221889,1.12001,1.164105,328219.3849
1441929600,9/11/15,1.163281,1.179185,0.894222,0.984053,1382257.646
1442016000,9/12/15,0.97442,1.14639,0.960847,1.048601,421202.2238
1442102400,9/13/15,1.040404,1.047447,0.892921,0.928858,308404.8524
1442188800,9/14/15,0.933799,0.955,0.865839,0.870059,408148.072
1442275200,9/15/15,0.877447,1,0.80404,0.943028,372463.5271
1442361600,9/16/15,0.94292,0.955666,0.886449,0.900002,222091.0807
1442448000,9/17/15,0.907859,0.915351,0.8072,0.883875,445579.6432
1442534400,9/18/15,0.8801,0.901979,0.823652,0.855625,239436.5066
1442620800,9/19/15,0.84809,0.92217,0.80129,0.876065,161211.433
