"timestamp","open","high","low","close","volume"
"1438560000","0.983632","1.352983","0.97245","1.056756","161.836812"
"1438646400","1.433464","1.433464","0.82713","0.82713","17.851062"
"1438732800","0.966646","1.405386","0.618437","0.984839","30.887346"
"1438819200","1.177171","1.177171","0.842109","0.982678","271.772325"
"1438905600","0.997855","1.267577","0.917222","1.267577","63.055653"
"1438992000","0.994025","1.543393","0.909318","0.991729","1413.817947"
"1439078400","0.996177","1.033514","0.889597","0.987249","429.470472"
"1439164800","1.627707","1.627707","0.993232","0.993232","12.147811"
"1439251200","0.997257","1.326395","0.949776","0.997634","517.784706"
"1439337600","0.973927","1.265687","0.945575","0.970709","1500.769525"
"1439424000","0.997435","1.217415","0.865672","0.88075","1487.513469"
"1439510400","1.017692","1.075727","0.983896","1.014497","670.949183"
"1439596800","1.005347","1.28571","0.506242","1.036703","286.67294"
"1439683200","0.922746","1.296639","0.282486","1.007802","533.866095"
"1439769600","1.120757","1.178617","0.866126","0.930635","202.923911"
"1439856000","0.980522","1.053182","0.470285","1.042967","3366.723936"
"1439942400","1.125247","1.360237","0.763886","0.993936","6081.928239"
"1440028800","1.002502","1.953124","0.879653","0.879653","2496.390216"
"1440115200","1.024412","1.032297","0.967136","0.993223","3893.947155"
"1440201600","0.999779","1.356208","0.961048","1.002651","1171.488134"
"1440288000","1.001805","1.242139","0.854813","0.974076","523.691785"
"1440374400","0.993384","1.0477","0.939009","1.005788","7571.791361"
"1440460800","0.97986","1.542437","0.977585","1.542437","5471.24801"
"1440547200","1.170067","1.184825","0.852842","0.995223","1879.035245"
"1440633600","1.168259","1.168259","0.947619","1.022409","1935.043194"
"1440720000","1.037173","1.155833","0.966553","1.009738","442.34016"
"1440806400","1.001322","1.153875","0.972445","0.982664","944.828397"
"1440892800","1.008889","1.080002","0.948252","1.058477","3723.414916"
"1440979200","1.062414","1.087003","0.936797","1.036074","1022.294916"
"1441065600","1.02141","1.107212","0.935699","1.018076","3839.791598"
"1441152000","0.994575","1.548131","0.905015","0.961429","482.688058"
"1441238400","1.022961","1.049757","0.611253","1.018953","581.931056"
"1441324800","0.981821","1.191383","0.62681","0.62681","366.918563"
"1441411200","0.94443","1.199033","0.94443","1.011193","1804.06098"
"1441497600","1.011408","1.192937","0.93135","1.021362","1005.235493"
"1441584000","1.013696","1.153184","0.975305","0.981476","2516.903869"
"1441670400","1.101255","1.125801","0.927759","1.016389","28.527871"
"1441756800","1.003397","1.017293","0.736866","0.990154","833.994874"
"1441843200","0.994467","1.07683","0.796204","0.978725","3208.547217"
"1441929600","1.010498","1.180723","0.964594","1.075264","3746.750095"
"1442016000","0.978627","1.059701","0.905516","0.906724","1659.514188"
"1442102400","0.992921","1.132184","0.76705","0.935182","748.567561"
"1442188800","0.976779","1.017901","0.947881","1.01225","243.029964"
"1442275200","1.012341","1.040682","0.860281","0.9888","195.78313"
"1442361600","0.989513","1.100289","0.931703","0.993926","75.615272"
"1442448000","0.980832","1.053822","0.941804","1.006526","268.485211"
"1442534400","1.003778","1.01109","0.947576","0.947576","127.769962"
"1442620800","0.998551","1.012361","0.887783","0.928761","390.141221"
"1442707200","0.988361","1.048693","0.921576","0.975234","217.338997"
"1442793600","0.98702","1.27806","0.959199","0.999005","906.719825"
"1442880000","0.99692","1.044022","0.991305","1.044022","1101.114212"
"1442966400","1.02269","1.024413","0.861904","1.008868","175.458067"
"1443052800","1.000793","1.056648","0.914768","0.994254","1083.114277"
"1443139200","0.994605","1.05935","0.852912","0.989047","391.280088"
"1443225600","1.002523","1.136343","0.971976","1.091279","571.204393"
"1443312000","0.997013","1.116406","0.956179","0.99525","121.941227"
"1443398400","0.975778","1.048075","0.975779","1.032591","26270.128143"
"1443484800","1.022347","1.195827","0.923211","0.985645","13993.446813"
"1443571200","0.984854","1.185735","0.960675","0.991328","1723.971393"
"1443657600","0.992043","1.02574","0.928414","0.981409","934.591144"
"1443744000","0.983896","1.057505","0.953354","0.988901","1374.148921"
"1443830400","0.984756","1.067562","0.950239","0.986153","49.555063"
"1443916800","0.986399","1.00423","0.982243","0.982243","63.675467"
"1444003200","0.997762","1.020425","0.942559","1.006217","293.731032"
