Date,Close,Volume
1/2/2015 16:00,30.72,201558
1/5/2015 16:00,30.48,199331
1/6/2015 16:00,30.27,191352
1/7/2015 16:00,30.95,151623
1/8/2015 16:00,31.33,330619
1/9/2015 16:00,31.21,207509
1/12/2015 16:00,31.3,335023
1/13/2015 16:00,31.7,325801
1/14/2015 16:00,31.72,245064
1/15/2015 16:00,30.81,264742
1/16/2015 16:00,31.72,173864
1/20/2015 16:00,31.43,197857
1/21/2015 16:00,31.83,207467
1/22/2015 16:00,32.31,328626
1/23/2015 16:00,31.99,298795
1/26/2015 16:00,32.14,232061
1/27/2015 16:00,31.65,280938
1/28/2015 16:00,27.81,1766533
1/29/2015 16:00,27.86,395923
1/30/2015 16:00,27.22,387236
2/2/2015 16:00,27.37,277040
2/3/2015 16:00,27.99,377479
2/4/2015 16:00,27.85,240849
2/5/2015 16:00,27.49,423117
2/6/2015 16:00,27.67,285970
2/9/2015 16:00,27.23,123052
2/10/2015 16:00,27.63,133812
2/11/2015 16:00,27.3,128825
2/12/2015 16:00,27.24,184653
2/13/2015 16:00,27,192228
2/17/2015 16:00,27.69,225607
2/18/2015 16:00,27.37,176218
2/19/2015 16:00,27.18,85679
2/20/2015 16:00,27.4,159670
2/23/2015 16:00,27.37,156384
2/24/2015 16:00,28.1,311366
2/25/2015 16:00,28.24,327341
2/26/2015 16:00,27.35,206312
2/27/2015 16:00,26.83,142746
3/2/2015 16:00,27.59,161461
3/3/2015 16:00,26.75,150380
3/4/2015 16:00,26.77,133215
3/5/2015 16:00,26.45,152487
3/6/2015 16:00,26.49,129867
3/9/2015 16:00,26.74,125159
3/10/2015 16:00,26.56,96764
3/11/2015 16:00,26.77,305852
3/12/2015 16:00,27.41,193130
3/13/2015 16:00,27.52,154911
3/16/2015 16:00,27.49,105463
3/17/2015 16:00,26.92,185361
3/18/2015 16:00,26.98,129615
3/19/2015 16:00,27.65,86176
3/20/2015 16:00,27.98,268432
3/23/2015 16:00,27.79,79569
3/24/2015 16:00,27.78,153118
3/25/2015 16:00,27.35,238224
3/26/2015 16:00,25.89,340108
3/27/2015 16:00,27.16,281552
3/30/2015 16:00,27.83,278401
3/31/2015 16:00,27.64,247204
4/1/2015 16:00,27.8,126881
4/2/2015 16:00,27.85,216931
4/6/2015 16:00,27.89,135653
4/7/2015 16:00,27.48,145493
4/8/2015 16:00,27.77,129997
4/9/2015 16:00,26.95,130060
4/10/2015 16:00,26.97,124829
4/13/2015 16:00,26.49,107919
4/14/2015 16:00,25.64,488884
4/15/2015 16:00,25.58,272031
4/16/2015 16:00,25.32,125337
4/17/2015 16:00,24.96,150477
4/20/2015 16:00,25.85,287200
4/21/2015 16:00,25.8,163268
4/22/2015 16:00,25.96,146948
4/23/2015 16:00,26.4,196747
4/24/2015 16:00,25.34,745213
4/27/2015 16:00,24.74,201239
4/28/2015 16:00,24.81,158806
4/29/2015 16:00,24.51,176008
4/30/2015 16:00,24.22,284466
5/1/2015 16:00,24.61,151198
5/4/2015 16:00,24.85,170566
5/5/2015 16:00,24.67,204245
5/6/2015 16:00,24.53,177538
5/7/2015 16:00,25.09,152889
5/8/2015 16:00,25.42,209303
5/11/2015 16:00,25.81,275567
5/12/2015 16:00,25.51,198934
5/13/2015 16:00,25.09,248655
5/14/2015 16:00,25.31,92133
5/15/2015 16:00,25.38,135431
5/18/2015 16:00,25.56,209251
5/19/2015 16:00,25.77,104240
5/20/2015 16:00,25.65,114759
5/21/2015 16:00,25.64,117711
5/22/2015 16:00,25.36,107080
5/26/2015 16:00,25.32,259153
5/27/2015 16:00,25.38,98757
5/28/2015 16:00,25.55,75744
5/29/2015 16:00,25.1,171551
6/1/2015 16:00,25.13,106124
6/2/2015 16:00,25.21,86739
6/3/2015 16:00,25.4,115541
6/4/2015 16:00,25.17,97408
6/5/2015 16:00,25.11,174081
6/8/2015 16:00,24.98,335681
6/9/2015 16:00,25,221532
6/10/2015 16:00,25.11,167484
6/11/2015 16:00,25.87,530106
6/12/2015 16:00,26.98,257065
6/15/2015 16:00,26.19,230510
6/16/2015 16:00,26.28,148077
6/17/2015 16:00,26.82,308938
6/18/2015 16:00,26.77,116809
6/19/2015 16:00,26.47,198006
6/22/2015 16:00,26.6,122884
6/23/2015 16:00,26.76,239082
6/24/2015 16:00,26.63,126223
6/25/2015 16:00,26.47,128183
6/26/2015 16:00,27.18,291920
6/29/2015 16:00,26.53,125194
6/30/2015 16:00,26.34,142595
7/1/2015 16:00,26.2,294668
7/2/2015 16:00,26.2,147570
7/6/2015 16:00,26.1,126395
7/7/2015 16:00,26.37,227387
7/8/2015 16:00,26.35,119844
7/9/2015 16:00,28.18,601560
7/10/2015 16:00,27.95,286040
7/13/2015 16:00,29.45,277695
7/14/2015 16:00,29.77,309109
7/15/2015 16:00,30.24,1257511
7/16/2015 16:00,29.95,293393
7/17/2015 16:00,29.31,283268
7/20/2015 16:00,28.91,208516
7/21/2015 16:00,28.73,200437
7/22/2015 16:00,29.15,123860
7/23/2015 16:00,28.36,282194
7/24/2015 16:00,28.42,290511
7/27/2015 16:00,27.52,159876
7/28/2015 16:00,27.87,182437
7/29/2015 16:00,30.4,949109
7/30/2015 16:00,30.38,301208
7/31/2015 16:00,30.19,147664
8/3/2015 16:00,29.74,129190
8/4/2015 16:00,29.81,161449
8/5/2015 16:00,30.35,170830
8/6/2015 16:00,29.92,210320
8/7/2015 16:00,30.21,137601
8/10/2015 16:00,31.06,309974
8/11/2015 16:00,30.73,207100
8/12/2015 16:00,30.45,372594
8/13/2015 16:00,30.99,296743
8/14/2015 16:00,31.39,287021
8/17/2015 16:00,31.37,141071
8/18/2015 16:00,31.34,170292
8/19/2015 16:00,31.32,118322
8/20/2015 16:00,30.81,128295
8/21/2015 16:00,30.69,269868
8/24/2015 16:00,29.33,204543
8/25/2015 16:00,29.35,214671
8/26/2015 16:00,29.99,205654
8/27/2015 16:00,29.82,209687
8/28/2015 16:00,29.52,191813
8/31/2015 16:00,29.75,250978
9/1/2015 16:00,29.29,228589
9/2/2015 16:00,29.84,118223
9/3/2015 16:00,29.9,443258
9/4/2015 16:00,29.66,270612
9/8/2015 16:00,30.19,177658
9/9/2015 16:00,29.8,169652
9/10/2015 16:00,29.64,149942
9/11/2015 16:00,30.55,165847
9/14/2015 16:00,30.66,195976
9/15/2015 16:00,30.74,97808
9/16/2015 16:00,30.32,110676
9/17/2015 16:00,30.05,333435
9/18/2015 16:00,29.01,395671
9/21/2015 16:00,29.19,112525
9/22/2015 16:00,28.99,148087
9/23/2015 16:00,28.55,129745
9/24/2015 16:00,28.25,159620
9/25/2015 16:00,27.95,285868
9/28/2015 16:00,27.2,239427
9/29/2015 16:00,26.17,265227
9/30/2015 16:00,26.41,258824
10/1/2015 16:00,27.09,276441
10/2/2015 16:00,27.21,250757
10/5/2015 16:00,28.68,292721
10/6/2015 16:00,27.61,128182
10/7/2015 16:00,27.86,219223
10/8/2015 16:00,27.92,182089
10/9/2015 16:00,27.88,106605
10/12/2015 16:00,28.29,58829
10/13/2015 16:00,27.8,177368
10/14/2015 16:00,26.72,196726
10/15/2015 16:00,27.04,157010
10/16/2015 16:00,27.6,121147
10/19/2015 16:00,27.5,183460
10/20/2015 16:00,27.67,315101
10/21/2015 16:00,27.36,116627
10/22/2015 16:00,27.62,110856
10/23/2015 16:00,27.56,120770
10/26/2015 16:00,27.59,115228
10/27/2015 16:00,26.86,226449
10/28/2015 16:00,26.09,422196
10/29/2015 16:00,27.34,219191
10/30/2015 16:00,27.21,128170
11/2/2015 16:00,28.59,199406
11/3/2015 16:00,28.95,245440
11/4/2015 16:00,28.79,139491
11/5/2015 16:00,29.19,128595
11/6/2015 16:00,29.55,144088
11/9/2015 16:00,28.64,227234
11/10/2015 16:00,28.87,132812
11/11/2015 16:00,28.27,78105
11/12/2015 16:00,27.79,284810
11/13/2015 16:00,27.18,99283
11/16/2015 16:00,28.05,157348
11/17/2015 16:00,27.27,100754
11/18/2015 16:00,27.86,123311
11/19/2015 16:00,27.86,83786
11/20/2015 16:00,28.18,118640
11/23/2015 16:00,28.64,153932
11/24/2015 16:00,28.77,147291
11/25/2015 16:00,28.96,59589
11/27/2015 16:00,29.36,60163
11/30/2015 16:00,28.36,109281
12/1/2015 16:00,28.44,172987
12/2/2015 16:00,28.83,162629
12/3/2015 16:00,28.09,122823
12/4/2015 16:00,28.74,74512
12/7/2015 16:00,28.46,104396
12/8/2015 16:00,27.86,204081
12/9/2015 16:00,27.49,151869
12/10/2015 16:00,27.43,120668
12/11/2015 16:00,26.61,153961
12/14/2015 16:00,26.68,158369
12/15/2015 16:00,27.61,143287
12/16/2015 16:00,28.51,168380
12/17/2015 16:00,27.73,118325
12/18/2015 16:00,26.83,247455
12/21/2015 16:00,27.35,101707
12/22/2015 16:00,27.7,98443
12/23/2015 16:00,28.24,176076
12/24/2015 16:00,27.96,33210
12/28/2015 16:00,28.04,105984
12/29/2015 16:00,28.2,54482
12/30/2015 16:00,28,56512
12/31/2015 16:00,27.82,133088
1/4/2016 16:00,26.98,143244
1/5/2016 16:00,27.13,131317
1/6/2016 16:00,26.6,168673
1/7/2016 16:00,25.86,127836
1/8/2016 16:00,25.19,215244
1/11/2016 16:00,25.66,176739
1/12/2016 16:00,25.57,211650
1/13/2016 16:00,24.25,195759
1/14/2016 16:00,23.94,290630
1/15/2016 16:00,24.24,247847
1/19/2016 16:00,23.42,144251
1/20/2016 16:00,23.64,219891
1/21/2016 16:00,24.55,249952
1/22/2016 16:00,25.46,234817
1/25/2016 16:00,25.53,292721
1/26/2016 16:00,26.21,360792
1/27/2016 16:00,25.64,1654386
1/28/2016 16:00,26.9,898744
1/29/2016 16:00,26.7,660873
2/1/2016 16:00,27.64,646686
2/2/2016 16:00,28.44,893310
2/3/2016 16:00,27.35,541752
2/4/2016 16:00,27.32,275286
2/5/2016 16:00,26.72,277707
2/8/2016 16:00,26.7,256747
2/9/2016 16:00,26.7,191422
2/10/2016 16:00,26.22,292374
2/11/2016 16:00,26.02,154259
2/12/2016 16:00,26.25,287820
2/16/2016 16:00,28.1,234783
2/17/2016 16:00,27.66,229034
2/18/2016 16:00,27.91,228706
2/19/2016 16:00,27.8,199799
2/22/2016 16:00,28.6,158535
2/23/2016 16:00,28.52,113315
2/24/2016 16:00,28.72,129197
2/25/2016 16:00,28.41,165524
2/26/2016 16:00,28.45,154578
2/29/2016 16:00,28.53,259792
3/1/2016 16:00,29.06,208821
3/2/2016 16:00,29.47,208483
3/3/2016 16:00,29.77,121616
3/4/2016 16:00,29.6,138979
3/7/2016 16:00,29.83,157582
3/8/2016 16:00,29.59,168771
3/9/2016 16:00,29.77,220004
3/10/2016 16:00,29.57,217833
3/11/2016 16:00,30.05,132484
3/14/2016 16:00,30.1,242780
3/15/2016 16:00,29.51,108941
3/16/2016 16:00,30.07,113939
3/17/2016 16:00,30.87,195740
3/18/2016 16:00,31.52,371920
3/21/2016 16:00,31.07,190037
3/22/2016 16:00,30.65,207930
3/23/2016 16:00,30.6,171516
3/24/2016 16:00,30.72,143548
3/28/2016 16:00,30.86,114924
3/29/2016 16:00,31.76,154137
3/30/2016 16:00,31.53,111326
3/31/2016 16:00,31.82,249126
4/1/2016 16:00,31.29,187380
4/4/2016 16:00,30.64,117837
4/5/2016 16:00,30.66,180167
4/6/2016 16:00,30.6,135035
4/7/2016 16:00,30.29,301116
4/8/2016 16:00,29.87,115699
4/11/2016 16:00,29.85,110344
4/12/2016 16:00,30.26,142517
4/13/2016 16:00,31.13,139226
4/14/2016 16:00,30.95,95970
4/15/2016 16:00,30.95,93040
4/18/2016 16:00,30.9,59817
4/19/2016 16:00,30.51,94823
4/20/2016 16:00,31.49,209539
4/21/2016 16:00,31.23,322794
4/22/2016 16:00,31.02,213007
4/25/2016 16:00,31,145183
4/26/2016 16:00,34.42,765738
4/27/2016 16:00,34.41,366185
4/28/2016 16:00,33.93,306490
4/29/2016 16:00,34.04,225155
5/2/2016 16:00,34.31,173805
5/3/2016 16:00,33.18,204404
5/4/2016 16:00,33.27,272570
5/5/2016 16:00,32.54,179833
5/6/2016 16:00,33.11,155924
5/9/2016 16:00,32.9,143798
5/10/2016 16:00,33.06,94998
5/11/2016 16:00,32.48,101466
